Operation,Approach,Supports arbitrary Op,Op Restrictions,Supports arbitrary bits,Bits Restrictions
GroupBy,sort,no,uses bitwise equal,yes,
GroupBy,sm_array,no,uses bitwise equal,yes,
,,,,,
Hop (reduce),baseline  (cub),yes,,yes,(storage uses 64 bits)
Hop (reduce),slabs,yes,op + atomic op,yes,
Hop (reduce),nogaps,yes,op + atomic op,yes,
,,,,,
Binary Op,baseline  (cub),yes,,yes,(storage uses 64 bits)
Binary Op,slabs,yes,,yes,
Binary Op,nogaps,yes,,yes,
,,,,,
Filter,baseline,yes,,yes,(storage uses 64 bits)
Filter,elementstuffing_nogaps,yes,,yes,
Filter,slabs,yes,,yes,
Filter,slabs_by_warp,yes,,yes,
Filter,nogaps,yes,,yes,
,,,,,
Compressstore,baseline_cub,N/A,,yes,(storage uses 64 bits)
Compressstore,slabs,N/A,,yes,
